type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	004	31.52276421	-108.991723163	3489287.39426563	690686.256999575	004		Flag, Red				1726.400146																	garmin eTrex VistaCx Software Version 3.40					004								
WAYPOINT	2 More Willows	31.522674859	-108.963386966	3489327.17304071	693377.482217623	13-JUN-14 8:38:15		Flag, Red				1621.857666																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:38:15			13-JUN-14 8:38:15								
WAYPOINT	2 Willows	31.522541	-108.963476066	3489312.17529263	693369.296405567	13-JUN-14 8:37:08		Flag, Red				1622.098145																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:37:08			13-JUN-14 8:37:08								
WAYPOINT	Big Willo	31.5237894	-108.965942943	3489446.22754287	693132.449740935	13-JUN-14 8:52:37		Flag, Red				1626.904541																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:52:37			13-JUN-14 8:52:37								
WAYPOINT	Big Willow	31.523711951	-108.96570297	3489438.06429846	693155.398866175	13-JUN-14 8:50:41		Flag, Red				1626.664307																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:50:41			13-JUN-14 8:50:41								
WAYPOINT	Big Wilo	31.526662465	-108.970010681	3489757.58628784	692740.243371635	13-JUN-14 9:13:14		Flag, Red				1633.633789																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:13:14			13-JUN-14 9:13:14								
WAYPOINT	Bird	35.65705765	-97.473550709	4031339.33231489	1727982.27342989	10-APR-14 11:41:51		Flag, Red				353.888428																	garmin eTrex VistaCx Software Version 3.40		2014/04/10 06:41:51			10-APR-14 11:41:51								
WAYPOINT	Cottonwood	31.522090808	-108.963158308	3489262.82533468	693400.401604756	13-JUN-14 8:32:40		Flag, Red				1622.098145																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:32:40			13-JUN-14 8:32:40								
WAYPOINT	CP01	31.522924053	-108.991696341	3489305.16199847	690688.479334678	13-JUN-14 15:38:47		Flag, Red				1731.447021																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:38:47			13-JUN-14 15:38:47								
WAYPOINT	CP06	31.522508645	-108.99029078	3489261.55579632	690822.807313462	13-JUN-14 15:50:16		Flag, Red				1726.400146																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:50:16			13-JUN-14 15:50:16								
WAYPOINT	CP13	31.52300125	-108.986124555	3489323.43515999	691217.462557392	13-JUN-14 16:11:42		Flag, Red				1702.126953																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 11:11:42			13-JUN-14 16:11:42								
WAYPOINT	Cwood 2	31.522392472	-108.963588802	3489295.50952748	693358.896113414	13-JUN-14 8:35:19		Flag, Red				1621.136719																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:35:19			13-JUN-14 8:35:19								
WAYPOINT	Cwood 3	31.523672221	-108.963921145	3489436.80361107	693324.696565177	13-JUN-14 8:45:56		Flag, Red				1624.501221																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:45:56			13-JUN-14 8:45:56								
WAYPOINT	Cwood 4	31.526956921	-108.97013532	3489790.01207128	692727.802071563	13-JUN-14 9:16:36		Flag, Red				1633.874023																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:16:36			13-JUN-14 9:16:36								
WAYPOINT	Cwood 5	31.527073262	-108.971011899	3489801.3679021	692644.319457059	13-JUN-14 9:18:39		Flag, Red				1636.517578																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:18:39			13-JUN-14 9:18:39								
WAYPOINT	Cwood Willo	31.526254183	-108.972009094	3489708.80611013	692551.303094945	13-JUN-14 9:23:35		Flag, Red				1638.920898																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:23:35			13-JUN-14 9:23:35								
