type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	001	31.529139988	-108.985092156	3490005.81238553	691302.987513243	06-JUN-14 18:52:07		Flag, Blue				1666.558594																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 13:52:07			06-JUN-14 18:52:07								
WAYPOINT	002	31.577387983	-108.99577992	3495336.23168465	690190.107498124	12-JUN-14 12:45:46		Flag, Blue				1544.952637																	garmin eTrex VistaCx Software Version 3.40		2014/06/12 07:45:46			12-JUN-14 12:45:46								
WAYPOINT	1045	31.556709576	-109.007112337	3493024.05671853	689156.282255103	13-JUN-14 13:18:53		Flag, Blue				1698.762451																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:18:53			13-JUN-14 13:18:53								
WAYPOINT	1081	31.556708571	-109.007110996	3493023.94761722	689156.411589427	13-JUN-14 13:19:03		Flag, Blue				1699.483398																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:19:03			13-JUN-14 13:19:03								
WAYPOINT	17,7	31.556714522	-109.007118624	3493024.59418937	689155.675425059	13-JUN-14 13:18:21		Flag, Blue				1702.367432																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:18:21			13-JUN-14 13:18:21								
WAYPOINT	17.4	31.556720305	-109.007124826	3493025.22460142	689155.074974568	13-JUN-14 13:17:51		Flag, Blue				1704.770752																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:17:51			13-JUN-14 13:17:51								
WAYPOINT	3 Jack Rabbit	31.507260958	-108.97382495	3487599.91740903	692417.803158503	06-JUN-14 8:39:43		Flag, Blue				1683.141113																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 03:39:43			06-JUN-14 8:39:43								
WAYPOINT	3281	31.556712426	-109.007115858	3493024.36659754	689155.942241691	13-JUN-14 13:18:33		Flag, Blue				1700.20459																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:18:33			13-JUN-14 13:18:33								
WAYPOINT	3282	31.556710918	-109.007114097	3493024.20245708	689156.112463432	13-JUN-14 13:18:42		Flag, Blue				1699.964111																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:18:42			13-JUN-14 13:18:42								
WAYPOINT	3283	31.556707732	-109.007109655	3493023.85691955	689156.540588614	13-JUN-14 13:19:13		Flag, Blue				1699.723877																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:19:13			13-JUN-14 13:19:13								
WAYPOINT	3284	31.556706978	-109.007108649	3493023.77506629	689156.637613597	13-JUN-14 13:19:23		Flag, Blue				1700.20459																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:19:23			13-JUN-14 13:19:23								
WAYPOINT	Antlers	31.492341086	-108.973020455	3485947.23185861	692524.805627106	06-JUN-14 10:58:50		Flag, Blue				1670.163574																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 05:58:50			06-JUN-14 10:58:50								
WAYPOINT	Back 2 Camp	31.544355238	-108.990222048	3491683.70786298	690784.883437537	07-JUN-14 9:51:59		Flag, Blue				1687.226807																	garmin eTrex VistaCx Software Version 3.40		2014/06/07 04:51:59			07-JUN-14 9:51:59								
WAYPOINT	Cr01	31.491638348	-108.976747384	3485862.78273623	692172.188060129	06-JUN-14 10:40:21		Flag, Blue				1680.25708																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 05:40:21			06-JUN-14 10:40:21								
WAYPOINT	Dead Coati	31.556703709	-109.007110409	3493023.40960502	689156.477131153	13-JUN-14 13:27:55		Flag, Blue				1705.731934																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:27:55			13-JUN-14 13:27:55								
WAYPOINT	Dead Ks	31.871790765	-109.387531802	3527358.26992678	652526.769326391	15-JUN-14 18:33:29		Flag, Blue				1697.320557																	garmin eTrex VistaCx Software Version 3.40		2014/06/15 13:33:29			15-JUN-14 18:33:29								
WAYPOINT	Found Logger	31.503018625	-109.017250836	3487054.15033249	688301.566999617	11-JUN-14 12:47:11		Flag, Blue				1716.066162																	garmin eTrex VistaCx Software Version 3.40		2014/06/11 07:47:11			11-JUN-14 12:47:11								
WAYPOINT	Kieth Tank Tad	31.871701833	-109.387702374	3527348.17110262	652510.779190335	16-JUN-14 10:10:13		Flag, Blue				1722.79541																	garmin eTrex VistaCx Software Version 3.40		2014/06/16 05:10:13			16-JUN-14 10:10:13								
WAYPOINT	M01 1M2	31.527978927	-108.986756718	3489874.18391706	691147.284143578	06-JUN-14 18:41:38		Flag, Blue				1672.326416																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 13:41:38			06-JUN-14 18:41:38								
WAYPOINT	M1	31.51916544	-109.007625645	3488860.83955685	689183.290670115	05-JUN-14 16:26:05		Flag, Blue				1679.536133																	garmin eTrex VistaCx Software Version 3.40		2014/06/05 11:26:05			05-JUN-14 16:26:05								
WAYPOINT	M1 12M2	31.556726005	-109.007130023	3493025.8475491	689154.570099483	13-JUN-14 13:17:24		Flag, Blue				1709.336914																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 08:17:24			13-JUN-14 13:17:24								
WAYPOINT	M2	31.519087488	-109.007693538	3488852.08017064	689176.999956355	05-JUN-14 16:29:41		Flag, Blue				1683.621826																	garmin eTrex VistaCx Software Version 3.40		2014/06/05 11:29:41			05-JUN-14 16:29:41								
WAYPOINT	M2 6M2	31.48975594	-108.952863654	3485696.20657806	694445.04375032	06-JUN-14 12:13:35		Flag, Blue				1639.161133																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 07:13:35			06-JUN-14 12:13:35								
WAYPOINT	M5 10M2	31.552552488	-108.983233636	3492604.70583143	691431.662309511	07-JUN-14 11:11:36		Flag, Blue				1645.169434																	garmin eTrex VistaCx Software Version 3.40		2014/06/07 06:11:36			07-JUN-14 11:11:36								
WAYPOINT	Mark	31.535224915	-108.989095688	3490673.43319547	690910.41819602	Mark		Flag, Blue																					garmin eTrex VistaCx Software Version 3.40					Mark								
WAYPOINT	Mark M	31.531705856	-108.988881111	3490283.66518945	690937.958452998	Mark M		Flag, Blue																					garmin eTrex VistaCx Software Version 3.40					Mark M								
WAYPOINT	S2	31.489052447	-108.954808675	3485614.7647705	694261.716911967	06-JUN-14 11:41:08		Flag, Blue				1642.525879																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 06:41:08			06-JUN-14 11:41:08								
WAYPOINT	S3	31.491001071	-108.948460724	3485842.06771653	694860.750035658	06-JUN-14 12:34:47		Flag, Blue				1629.788574																	garmin eTrex VistaCx Software Version 3.40		2014/06/06 07:34:47			06-JUN-14 12:34:47								
WAYPOINT	S5	31.552631194	-108.983160211	3492613.56009942	691438.472335189	07-JUN-14 11:12:30		Flag, Blue				1644.208008																	garmin eTrex VistaCx Software Version 3.40		2014/06/07 06:12:30			07-JUN-14 11:12:30								
