unit,type,ident,,Latitude,Longitude,y_proj,x_proj,comment,altitude,original order
T_UNIT,pool,Comp 3M1L 33m2,,31.51917298,-109.0076707,3488861.061,689179.9716,18-MAY-15 1:17:14PM,1683.381348,658
E_unit,pool,Cont 2 d 3W,,31.47802622,-109.0152609,3484286.276,688541.7219,12-MAY-15 5:03:03PM,1716.066162,399
E_unit,pool,Cont 2 U 1M,,31.4779367,-109.0158135,3484275.402,688489.3956,12-MAY-15 5:06:13PM,1716.066162,400
E_unit,pool,Cont D 1m,,31.48562232,-108.9474818,3485246.951,694965.8898,16-MAY-15 11:39:17AM,1636.517578,408
J_UNIT,pool,Cont D 1m1,,31.52136594,-109.0140746,3489093.139,688567.3831,5/18/15 12:39,1689.630127,486
E_unit,pool,Cont D 2W,,31.46921952,-109.0105908,3483317.97,689003.1437,12-MAY-15 2:13:12PM,1699.964111,383
E_unit,pool,Cont U,,31.48559382,-108.9476111,3485243.561,694953.6694,16-MAY-15 11:38:23AM,1638.680664,407
E_unit,pool,Cont U 2M,,31.47039651,-109.011771,3483446.423,688888.6371,12-MAY-15 3:15:15PM,1694.917236,389
J_UNIT,pool,Cont U1,,31.52107735,-109.0142748,3489060.8,688548.9461,5/18/15 12:36,1691.792969,487
E_unit,pool,Cont2 D 2m,,31.48591334,-108.9473004,3485279.537,694982.5186,16-MAY-15 11:44:24AM,1636.036865,411
E_unit,pool,Cont2 U,,31.48566725,-108.9474639,3485251.963,694967.4928,16-MAY-15 11:40:11AM,1633.393311,409
E_unit,pool,Cont3 D 1m,,31.48626789,-108.9470866,3485319.226,695002.0971,16-MAY-15 11:47:55AM,1634.354736,414
E_unit,pool,Cont3 U,,31.48610981,-108.947172,3485301.548,694994.3106,16-MAY-15 11:46:48AM,1633.874023,413
E_unit,pool,L 16M,,31.47693548,-109.0197461,3484157.65,688117.7509,12-MAY-15 12:15:41PM,1729.764893,372
T_UNIT,pool,L 16m2,,31.48973993,-108.9444512,3485708.848,695245.2636,17-MAY-15 12:46:44PM,1627.625488,622
E_unit,pool,L 18M,,31.47707965,-109.019294,3484174.409,688160.4198,12-MAY-15 12:17:31PM,1730.966553,373
T_UNIT,pool,L 18m2,,31.48437132,-108.9480585,3485107.232,694913.6971,16-MAY-15 10:56:05AM,1622.578613,612
E_unit,pool,L 24m2,,31.488818,-108.9769876,3485549.147,692156.1144,16-MAY-15 4:27:04PM,1686.986572,438
T_UNIT,pool,L 24m21,,31.48426043,-108.9481339,3485094.804,694906.76,16-MAY-15 10:57:47AM,1622.578613,613
T_UNIT,pool,L 32m2,,31.49155855,-108.9368524,3485924.031,695963.3748,17-MAY-15 11:46:10AM,1595.902344,618
E_unit,pool,L 4 16M,,31.47267228,-109.0129577,3483696.68,688771.3054,12-MAY-15 3:31:49PM,1699.964111,391
E_unit,pool,L 5 30M,,31.47779253,-109.0140365,3484262.475,688658.5271,12-MAY-15 4:53:13PM,1711.259521,397
T_UNIT,pool,L 52m2,,31.48785333,-108.945712,3485497.443,695129.3946,16-MAY-15 1:00:32PM,1634.114258,607
J_UNIT,pool,L1 16.5m,,31.49006959,-108.9516392,3485732.616,694561.6959,5/16/15 11:53,1633.153076,488
B_unit,pool,L1 19m,,31.47663575,-109.0226075,3484119.516,687846.4848,5/13/15 17:55,1739.37793,252
J_UNIT,pool,L1 20m,,31.51961949,-109.0112895,3488904.318,688835.3913,5/18/15 13:00,1687.947754,489
J_UNIT,pool,L2 17.5m,,31.48901892,-108.9550205,3485610.136,694242.6418,5/16/15 13:02,1643.487061,490
J_UNIT,pool,L2 18m,,31.51963131,-109.0109882,3488906.147,688863.9849,5/18/15 13:01,1686.025146,491
J_UNIT,pool,L3 17m,,31.51857795,-109.0036531,3488802.039,689562.7313,5/18/15 13:46,1680.497559,492
T_UNIT,pool,L3 18m2,,31.50653156,-109.0100658,3487455.442,688977.9637,17-MAY-15 3:41:24PM,1688.428467,638
J_UNIT,pool,L4 18m,,31.50968601,-108.9904599,3487839.14,690833.7966,5/17/15 9:59,1669.682861,493
T_UNIT,pool,L6 24m2,,31.50625798,-109.0133137,3487419.514,688670.0152,17-MAY-15 4:06:02PM,1697.80127,644
T_UNIT,pool,L8 36m2,,31.50380812,-109.016701,3487142.085,688353.1912,17-MAY-15 4:40:49PM,1710.778809,650
E_unit,pool,M 1.5m2,,31.48985476,-108.9771631,3485663.78,692137.3193,16-MAY-15 4:41:33PM,1682.6604,441
E_unit,pool,M 10M,,31.47703707,-109.0190782,3484170.059,688181.0122,12-MAY-15 12:19:39PM,1731.6875,375
T_UNIT,pool,M 10m2,,31.47778591,-109.0143476,3484261.205,688628.9785,12-MAY-15 4:55:39PM,1714.624023,601
E_unit,pool,M 10m21,,31.48835314,-108.9795931,3485493.046,691909.5332,16-MAY-15 4:09:28PM,1689.630127,434
T_UNIT,pool,M 11m2,,31.4916417,-108.9367722,3485933.393,695970.8138,17-MAY-15 11:49:08AM,1618.973633,620
E_unit,pool,M 12m2,,31.48466016,-108.9480649,3485139.243,694912.4847,16-MAY-15 10:53:51AM,1638.199951,406
E_unit,pool,M 2M,,31.47689282,-109.0206537,3484151.364,688031.6026,12-MAY-15 11:56:33AM,1734.571289,369
E_unit,pool,M 2m2,,31.48770187,-108.9810136,3485418.357,691775.9126,16-MAY-15 3:53:38PM,1692.033447,429
T_UNIT,pool,M 2m21,,31.48682009,-108.9470456,3485380.519,695004.845,16-MAY-15 12:49:56PM,1635.796631,617
E_unit,pool,M 3 8M,,31.47069264,-109.0123494,3483478.257,688833.087,12-MAY-15 3:06:50PM,1697.560791,387
E_unit,pool,M 3M,,31.47758776,-109.0179202,3484233.098,688289.9308,12-MAY-15 12:58:01PM,1729.28418,382
E_unit,pool,M 3m2,,31.48717255,-108.9830787,3485356.064,691580.8047,16-MAY-15 3:38:51PM,1696.359375,422
T_UNIT,pool,M 3m21,,31.51259386,-109.0003919,3488144.262,689884.5646,17-MAY-15 2:44:26PM,1669.682861,623
E_unit,pool,M 4 2M,,31.47333085,-109.0131093,3483769.43,688755.5756,12-MAY-15 3:37:54PM,1698.281738,392
E_unit,pool,M 4M,,31.4769375,-109.019763,3484157.845,688116.1461,12-MAY-15 12:14:15PM,1730.48584,371
E_unit,pool,M 5 7M,,31.47712357,-109.0134569,3484189.309,688714.9407,12-MAY-15 4:33:17PM,1706.212646,393
T_UNIT,pool,M 5m2,,31.51224576,-109.0011949,3488104.278,689809.0025,17-MAY-15 2:48:47PM,1672.086182,624
E_unit,pool,M 8M,,31.4769131,-109.0203179,3484154.189,688063.4656,12-MAY-15 11:51:34AM,1733.850342,367
T_UNIT,pool,M 8m2,,31.4916132,-108.9368162,3485930.155,695966.6927,17-MAY-15 11:47:22AM,1619.934814,619
J_UNIT,pool,M1 1m,,31.49196063,-108.9454654,3485953.243,695144.2974,5/16/15 10:19,1627.865967,494
B_unit,pool,M1 2m,,31.47674714,-109.02372,3484129.96,687740.5565,5/13/15 17:34,1748.029785,248
J_UNIT,pool,M1 2M1,,31.48319249,-109.0221427,3484847.217,687877.5362,5/14/15 15:28,1781.195068,495
B_unit,pool,M1 3m,,31.47606117,-109.0321226,3484039.557,686943.5592,5/12/15 13:27,1783.598389,192
J_UNIT,pool,M1 5m,,31.49059807,-108.9643975,3485768.632,693348.5483,5/16/15 16:08,1659.589111,496
J_UNIT,pool,M1 8.5m,,31.52132076,-109.0137032,3489088.77,688602.7455,5/18/15 12:49,1690.351074,497
B_unit,pool,M10 2M,,31.49774565,-109.0207888,3486462.957,687977.0447,5/13/15 11:06,1716.787109,226
B_unit,pool,M10 3m,,31.47329707,-109.0347769,3483728.599,686696.8535,5/12/15 16:53,1828.058838,219
J_UNIT,pool,M10 5.5m,,31.5158188,-108.9894535,3488520.806,690916.9113,5/18/15 14:34,1668.240967,498
T_UNIT,pool,M10 6m2,,31.50931067,-109.0069864,3487768.861,689264.8565,17-MAY-15 3:11:34PM,1683.862061,630
E_unit,pool,M101 2m,,31.51282503,-109.0167082,3488141.726,688334.4149,17-MAY-15 2:57:47PM,1715.344971,452
E_unit,pool,M102 2m,,31.52067276,-109.0122074,3489019.506,688746.1067,17-MAY-15 4:16:40PM,1689.630127,457
B_unit,pool,M11 2m,,31.47329288,-109.0347631,3483728.158,686698.1759,5/12/15 16:54,1827.337891,220
B_unit,pool,M11 4m,,31.47792941,-109.0287385,3484252.45,687261.3753,5/13/15 16:40,1770.620361,236
T_UNIT,pool,M11 6m2,,31.50860097,-109.0071802,3487689.846,689247.873,17-MAY-15 3:15:31PM,1684.343018,632
J_UNIT,pool,M12 3.5m,,31.50323102,-109.017316,3487077.048,688295.9258,5/17/15 16:42,1711.740234,499
T_UNIT,pool,M12 3m2,,31.50816905,-109.0088433,3487639.09,689090.7832,17-MAY-15 3:27:39PM,1685.063965,635
J_UNIT,pool,M12 6m,,31.50284613,-109.0177583,3487033.617,688254.6915,5/17/15 16:47,1712.94165,500
T_UNIT,pool,M13 6m2,,31.50809119,-109.0093086,3487629.655,689046.7467,17-MAY-15 3:31:57PM,1686.025146,636
T_UNIT,pool,M14 3m2,,31.50798448,-109.0096154,3487617.296,689017.8151,17-MAY-15 3:34:06PM,1685.784912,637
T_UNIT,pool,M14 8m2,,31.50630441,-109.0100163,3487430.344,688983.1183,17-MAY-15 3:43:05PM,1688.428467,639
T_UNIT,pool,M15 3m2,,31.50510111,-109.0114356,3487294.494,688850.7272,17-MAY-15 3:52:42PM,1693.235107,640
T_UNIT,pool,M16 4m2,,31.50577309,-109.0129612,3487366.364,688704.4678,17-MAY-15 3:59:16PM,1696.599609,641
T_UNIT,pool,M17 1m2,,31.50395321,-109.0161115,3487159.183,688408.8945,17-MAY-15 4:34:15PM,1710.057861,648
