unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude	original order
T_UNIT	ant experiment	H ANT-BEETLE	31.52610733	-108.9774332	3489682.463	692037.4834	19-MAY-15 8:44:40AM	1643.246826	671
T_UNIT	ant experiment	H ANT-DIFF ANT	31.52588412	-108.977657	3489657.325	692016.6875	19-MAY-15 8:45:38AM	1645.409668	672
T_UNIT	ant experiment	H ANT-H ANT	31.52592779	-108.977792	3489661.929	692003.7747	19-MAY-15 8:46:30AM	1646.371094	673
T_UNIT	ant experiment	H ANT-SPIDER	31.52608696	-108.9771756	3489680.657	692061.9858	19-MAY-15 8:43:32AM	1643.006348	670
E_unit	ant experiment	Harvester 1	31.50407055	-108.9764331	3487241.098	692177.5833	16-MAY-15 6:02:33PM	1681.218506	443
B_unit	artifact	Rock Drawngs	31.50863693	-109.0080742	3487692.289	689162.8855	5/10/15 17:49	1688.90918	91
B_unit	dead animal	Bone	31.50980981	-108.9864794	3487859.806	691211.6236	5/16/15 10:46	1659.589111	279
B_unit	dead animal	Egg	31.51696762	-108.9851581	3488655.665	691322.5241	5/15/15 14:04	1665.356934	272
B_unit	dead animal	Skull Beehive	31.50984962	-108.9864749	3487864.227	691211.9644	5/16/15 12:42	1665.356934	282
B_unit	dead animal	Snake Skin	31.50612102	-109.0141844	3487402.831	688587.5865	5/11/15 13:16	1703.328613	144
J_UNIT	dead animal	Bull Snake1 (dead)	31.52145596	-108.9241473	3489261.454	697107.5816	5/15/15 17:34	1610.081543	483
J_UNIT	dead animal	Coachwhip (dead)	31.52146468	-108.9241681	3489262.383	697105.5891	5/15/15 17:35	1611.283203	485
J_UNIT	dead animal	Snake backbone	31.48894181	-108.9551111	3485601.426	694234.1932	16-MAY-15 13:05:32 Macie Pic	1644.208008	581
T_UNIT	dead turtle	Dead Juvenile	31.52127391	-109.0133424	3489084.197	688637.1083	18-MAY-15 12:46:47PM	1688.188232	664
T_UNIT	dead turtle	T2289 DEAD	31.4881042	-108.9455095	3485525.616	695148.1205	16-MAY-15 1:12:42PM	1633.874023	608
T_UNIT	dead turtle	Unmarkdeadt	31.44481335	-111.2563853	3478928.019	475639.2262	14-MAY-15 2:00:12PM	1307.509033	606
E_unit	landmark	Fence Cut	31.47929482	-109.0212202	3484416.688	687972.978	12-MAY-15 11:28:29AM	1804.026123	366
T_UNIT	landmark	Margarita Tank	31.44522934	-111.2563875	3478974.126	475639.1268	14-MAY-15 1:12:50PM	1305.82666	604
B_unit	live animal	Bt Rattle	31.4732943	-109.0347068	3483728.411	686703.5171	5/12/15 17:03	1827.097656	222
B_unit	live animal	Bull Snake	31.51067432	-109.0051713	3487923.179	689434.5049	5/14/15 18:25	1676.652344	261
B_unit	live animal	Cany Tree Frog	31.47456056	-109.0338429	3483870.263	686783.0882	5/12/15 15:08	1823.492676	204
B_unit	live animal	Fish In Bwc	31.51261113	-109.0003383	3488146.269	689889.6167	5/10/15 19:50	1672.326416	95
E_unit	live animal	Canyon Frog	31.50873106	-108.9912929	3487731.819	690756.6185	17-MAY-15 10:29:52AM	1679.295898	448
E_unit	live animal	whiptail	31.46902506	-109.0109885	3483295.726	688965.7425	12-MAY-15 1:41:58PM	1705.010986	365
J_UNIT	live animal	BlackTail	31.48605055	-109.0245471	3485159.954	687643.39	5/14/15 17:05	1819.887695	480
