unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude
B_unit	user	Cp 01 1	31.51461264	-108.9984192	3488371.495	690067.8374	5/10/15 15:02	1675.931396
B_unit	user	Cp 02 1	31.51483091	-108.9984485	3488395.642	690064.617	5/10/15 15:05	1676.652344
B_unit	user	Cp 03 1	31.51431626	-108.9987039	3488338.142	690041.3947	5/10/15 15:07	1673.287842
B_unit	user	Cp 04 1	31.51366683	-108.999342	3488265.036	689982.1116	5/10/15 15:09	1672.807129
B_unit	user	Cp 05 2	31.51368108	-108.9994824	3488266.373	689968.7483	5/10/15 15:10	1672.807129
B_unit	user	Cp 06 1	31.51366163	-108.9995937	3488264.024	689958.2156	5/10/15 15:12	1674.008789
B_unit	user	Cp 07 3	31.51351193	-108.999573	3488247.463	689960.485	5/10/15 15:13	1672.086182
B_unit	user	Cp 08 1	31.51342384	-108.9996465	3488237.569	689953.6816	5/10/15 15:14	1672.086182
B_unit	user	Cp 09 1	31.51333163	-108.9998907	3488226.924	689930.6781	5/10/15 15:16	1671.36499
B_unit	user	Cp 10 2	31.51340079	-108.9999528	3488234.483	689924.6391	5/10/15 15:17	1673.047363
B_unit	user	Cp 11 1	31.51330582	-108.9999906	3488223.889	689921.2409	5/10/15 15:18	1671.845703
B_unit	user	Cp 12 2	31.51326248	-109.0000479	3488218.985	689915.8834	5/10/15 15:19	1671.124756
B_unit	user	Cp 13 1	31.51331755	-109.0000787	3488225.037	689912.8423	5/10/15 15:19	1673.528076
B_unit	user	Cp 14 2	31.51312611	-109.0001796	3488203.638	689903.6527	5/10/15 15:20	1671.845703
B_unit	user	Cp 14 3	31.51312083	-109.0002279	3488202.968	689899.07	5/10/15 15:21	1672.326416
B_unit	user	Cp 15 1	31.51304564	-109.0002596	3488194.578	689896.2129	5/10/15 15:24	1672.807129
B_unit	user	Cp 16 1	31.51295252	-109.0002629	3488184.248	689896.0908	5/10/15 15:25	1672.086182
B_unit	user	Cp 17 1	31.51251809	-109.0004041	3488135.84	689883.5556	5/10/15 15:29	1672.807129
B_unit	user	Cp 18 1	31.51249093	-109.0005473	3488132.581	689870.0132	5/10/15 15:30	1673.287842
B_unit	user	Cp 19 1	31.51259084	-109.000612	3488143.546	689863.6652	5/10/15 15:31	1674.969971
B_unit	user	Cp 20 4	31.51255421	-109.0006621	3488139.398	689858.9786	5/10/15 15:33	1674.729736
B_unit	user	Cp 21 1	31.51243838	-109.0007428	3488126.416	689851.5465	5/10/15 15:44	1672.807129
B_unit	user	Cp 22 3	31.51239906	-109.0008679	3488121.841	689839.7483	5/10/15 15:44	1673.528076
B_unit	user	Cp 241	31.51231541	-109.0010049	3488112.33	689826.9092	5/10/15 15:45	1673.768311
B_unit	user	Cp 25 3	31.51222573	-109.0012631	3488101.939	689802.5628	5/10/15 15:46	1674.249023
B_unit	user	Cp 26 1	31.51230896	-109.0013439	3488111.027	689794.7201	5/10/15 15:47	1674.008789
B_unit	user	Cp 27 1	31.51277709	-109.0025605	3488160.819	689678.2283	5/10/15 15:54	1674.969971
B_unit	user	Cp 28  01	31.51252018	-109.0028346	3488131.862	689652.7071	5/10/15 15:57	1675.690918
B_unit	user	Cp 29 3	31.51220854	-109.0030729	3488096.9	689630.7038	5/10/15 15:59	1675.690918
B_unit	user	Cp 30 3	31.51201911	-109.0032217	3488075.641	689616.9557	5/10/15 16:00	1675.450684
B_unit	user	Cp 30 1	31.51198072	-109.0032614	3488071.317	689613.2677	5/10/15 16:02	1678.094238
B_unit	user	Cp 31 1	31.51197008	-109.0033026	3488070.065	689609.3724	5/10/15 16:02	1678.574951
B_unit	user	Cp 32 1	31.51190881	-109.0032757	3488063.319	689612.0517	5/10/15 16:03	1679.05542
B_unit	user	Cp 33 1	31.51182826	-109.0032469	3488054.439	689614.953	5/10/15 16:04	1676.171631
B_unit	user	Cp 4 7	31.51178844	-109.0032742	3488049.977	689612.4381	5/10/15 16:04	1676.652344
B_unit	user	Cp 35 2	31.51186891	-109.0033779	3488058.719	689602.4278	5/10/15 16:06	1676.411865
B_unit	user	Cp 36  1	31.51169088	-109.0036105	3488038.579	689580.6876	5/10/15 16:08	1676.652344
B_unit	user	Cp 37 1	31.51168124	-109.0037163	3488037.327	689570.6602	5/10/15 16:09	1677.854004
B_unit	user	Cp 38 1	31.51161728	-109.0036725	3488030.313	689574.953	5/10/15 16:09	1679.05542
B_unit	user	Cp 39 1	31.51152131	-109.0036976	3488019.629	689572.7586	5/10/15 16:11	1678.574951
B_unit	user	Cp 40 2	31.51135543	-109.0037178	3488001.204	689571.183	5/10/15 16:12	1678.094238
B_unit	user	Cp 41 2	31.51134211	-109.00365	3487999.844	689577.6424	5/10/15 16:13	1677.373291
B_unit	user	Cp 43 9	31.51114195	-109.0037496	3487977.481	689568.5889	5/10/15 16:15	1675.450684
B_unit	user	Cp 44 2	31.51121453	-109.0039007	3487985.267	689554.0885	5/10/15 16:16	1678.815186
B_unit	user	Cp 45 1	31.51099962	-109.0039012	3487961.44	689554.4748	5/10/15 16:18	1677.133057
B_unit	user	Cp 46 2	31.5110966	-109.0041283	3487971.799	689532.7123	5/10/15 16:19	1677.373291
B_unit	user	Cp 47 2	31.51100566	-109.0041348	3487961.705	689532.275	5/10/15 16:20	1677.373291
B_unit	user	Cp 48 2	31.51098236	-109.004297	3487958.841	689516.9174	5/10/15 16:21	1679.295898
B_unit	user	cp 49 2	31.51088186	-109.0043787	3487947.558	689509.3582	5/10/15 16:21	1678.334473
B_unit	user	Cp 50 1	31.51077834	-109.0045245	3487935.829	689495.7228	5/10/15 16:25	1679.776611
B_unit	user	Cp 51 5	31.51076929	-109.0045657	3487934.754	689491.8322	5/10/15 16:26	1679.295898
B_unit	user	Cp 52 3	31.51077867	-109.0045885	3487935.756	689489.6399	5/10/15 16:26	1679.05542
B_unit	user	Cp 53 1	31.51070475	-109.0047274	3487927.319	689476.5976	5/10/15 16:28	1676.892578
