unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude
J_UNIT	user	13	31.48093776	-109.0280633	3484587.119	687319.5277	5/12/15 11:31	1838.152588
J_UNIT	user	24	31.49195996	-108.9454737	3485953.153	695143.5104	5/16/15 10:23	1628.346436
J_UNIT	user	BlackTail	31.48605055	-109.0245471	3485159.954	687643.39	5/14/15 17:05	1819.887695
J_UNIT	user	BlacktailRT	31.49325144	-108.9367701	3486111.863	695967.6622	5/15/15 10:48	1628.106201
J_UNIT	user	BlueBlack moth	31.49344381	-108.9365934	3486133.506	695984.0463	5/15/15 10:25	1630.749756
J_UNIT	user	Bull Snake1	31.52145596	-108.9241473	3489261.454	697107.5816	5/15/15 17:34	1610.081543
J_UNIT	user	CanyonTreeFrog	31.48923157	-108.9548995	3485633.926	694253.6928	5/16/15 12:59	1644.688721
J_UNIT	user	Coachwhip	31.52146468	-108.9241681	3489262.383	697105.5891	5/15/15 17:35	1611.283203
J_UNIT	user	Cont D 1m1	31.52136594	-109.0140746	3489093.139	688567.3831	5/18/15 12:39	1689.630127
J_UNIT	user	Cont U1	31.52107735	-109.0142748	3489060.8	688548.9461	5/18/15 12:36	1691.792969
J_UNIT	user	L1 16.5m	31.49006959	-108.9516392	3485732.616	694561.6959	5/16/15 11:53	1633.153076
J_UNIT	user	L1 20m	31.51961949	-109.0112895	3488904.318	688835.3913	5/18/15 13:00	1687.947754
J_UNIT	user	L2 17.5m	31.48901892	-108.9550205	3485610.136	694242.6418	5/16/15 13:02	1643.487061
J_UNIT	user	L2 18m	31.51963131	-109.0109882	3488906.147	688863.9849	5/18/15 13:01	1686.025146
J_UNIT	user	L3 17m	31.51857795	-109.0036531	3488802.039	689562.7313	5/18/15 13:46	1680.497559
J_UNIT	user	L4 18m	31.50968601	-108.9904599	3487839.14	690833.7966	5/17/15 9:59	1669.682861
J_UNIT	user	M1 1m	31.49196063	-108.9454654	3485953.243	695144.2974	5/16/15 10:19	1627.865967
J_UNIT	user	M1 2M1	31.48319249	-109.0221427	3484847.217	687877.5362	5/14/15 15:28	1781.195068
J_UNIT	user	M1 5m	31.49059807	-108.9643975	3485768.632	693348.5483	5/16/15 16:08	1659.589111
J_UNIT	user	M1 8.5m	31.52132076	-109.0137032	3489088.77	688602.7455	5/18/15 12:49	1690.351074
J_UNIT	user	M10 5.5m	31.5158188	-108.9894535	3488520.806	690916.9113	5/18/15 14:34	1668.240967
J_UNIT	user	M12 3.5m	31.50323102	-109.017316	3487077.048	688295.9258	5/17/15 16:42	1711.740234
J_UNIT	user	M12 6m	31.50284613	-109.0177583	3487033.617	688254.6915	5/17/15 16:47	1712.94165
J_UNIT	user	M2 1.25m	31.51961731	-109.0108959	3488904.755	688872.7775	5/18/15 13:15	1685.784912
J_UNIT	user	M2 2.5m	31.49107969	-108.9479049	3485851.236	694914.367	5/16/15 10:50	1628.586914
J_UNIT	user	M2 3m	31.49279094	-108.9421633	3486051.179	695456.2657	5/17/15 12:24	1623.299805
J_UNIT	user	m2 4M	31.48328662	-109.0227063	3484856.686	687823.8021	5/14/15 15:34	1784.800049
J_UNIT	user	M2 6M	31.48320548	-109.0221161	3484848.702	687880.0346	5/14/15 15:29	1780.474121
J_UNIT	user	M2 7m	31.51958227	-109.0113791	3488900.037	688826.9645	5/18/15 12:57	1684.102539
J_UNIT	user	M2 8M	31.48334647	-109.0232742	3484862.348	687769.7225	5/14/15 16:18	1792.25
J_UNIT	user	M3 11.5m	31.49169518	-108.9442888	3485925.908	695256.6236	5/17/15 12:36	1627.385254
J_UNIT	user	M3 3m1	31.51959568	-109.0104799	3488903.075	688912.3282	5/18/15 13:16	1687.70752
J_UNIT	user	M3 4m	31.49108472	-108.947962	3485851.692	694908.9339	5/16/15 10:52	1628.586914
J_UNIT	user	M3 5.5m	31.51913971	-109.0060828	3488860.115	689330.8483	5/18/15 13:30	1679.536133
J_UNIT	user	M4 1.25m	31.48891557	-108.9553953	3485598.014	694207.2446	5/16/15 13:11	1643.967773
J_UNIT	user	M4 13.75m	31.48949518	-108.9536381	3485665.387	694372.9833	5/16/15 12:38	1638.440186
J_UNIT	user	M4 14m	31.49270344	-108.9422067	3486041.401	695452.3311	5/17/15 12:26	1624.741699
J_UNIT	user	M4 2.5m	31.51966316	-109.0071523	3488916.299	689228.2181	5/18/15 13:25	1684.102539
