type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,#10,31.38858092,-111.1181137,3472673.788,488770.1311,16-MAY-14 7:00:38PM,,"Flag, Blue",,,,1251.993164,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/16/2014 14:00,,,16-MAY-14 7:00:38PM,,,,,,,,
WAYPOINT,#1008,31.45903199,-111.2323122,3480499.375,477928.9917,18-MAY-14 10:13:04AM,,"Flag, Blue",,,,1263.048096,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/18/2014 5:13,,,18-MAY-14 10:13:04AM,,,,,,,,
WAYPOINT,#1013,31.45901816,-111.2323089,3480497.841,477929.299,18-MAY-14 10:13:28AM,,"Flag, Blue",,,,1263.288574,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/18/2014 5:13,,,18-MAY-14 10:13:28AM,,,,,,,,
WAYPOINT,#1025,31.45901565,-111.2323117,3480497.563,477929.0356,18-MAY-14 10:13:58AM,,"Flag, Blue",,,,1262.807861,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/18/2014 5:13,,,18-MAY-14 10:13:58AM,,,,,,,,
WAYPOINT,#1058,31.4638945,-111.2734811,3481047.314,474019.0373,16-MAY-14 1:19:13PM,,"Flag, Blue",,,,1328.657715,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/16/2014 8:19,,,16-MAY-14 1:19:13PM,,,,,,,,
WAYPOINT,#1064,31.4502807,-111.2706637,3479537.784,474282.967,14-MAY-14 10:26:20AM,,"Flag, Blue",,,,1310.633301,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/14/2014 5:26,,,14-MAY-14 10:26:20AM,,,,,,,,
WAYPOINT,#1065,31.45038564,-111.2703269,3479549.337,474315.0033,15-MAY-14 11:18:16AM,,"Flag, Blue",,,,1308.950928,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/15/2014 6:18,,,15-MAY-14 11:18:16AM,,,,,,,,
WAYPOINT,#1066,31.45029545,-111.2705245,3479539.387,474296.1993,14-MAY-14 10:09:41AM,,"Flag, Blue",,,,1308.950928,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/14/2014 5:09,,,14-MAY-14 10:09:41AM,,,,,,,,
WAYPOINT,#1074,31.45042704,-111.2703574,3479553.933,474312.1157,14-MAY-14 10:57:47AM,,"Flag, Blue",,,,1312.075195,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/14/2014 5:57,,,14-MAY-14 10:57:47AM,,,,,,,,
WAYPOINT,#1075,31.45042067,-111.2703478,3479553.225,474313.0218,14-MAY-14 10:58:03AM,,"Flag, Blue",,,,1311.834961,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/14/2014 5:58,,,14-MAY-14 10:58:03AM,,,,,,,,
WAYPOINT,#1076,31.45027374,-111.2705952,3479536.997,474289.4718,14-MAY-14 11:05:45AM,,"Flag, Blue",,,,1311.834961,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/14/2014 6:05,,,14-MAY-14 11:05:45AM,,,,,,,,
WAYPOINT,#1077,31.38860917,-111.1182179,3472676.93,488760.2207,15-MAY-14 4:56:06PM,,"Flag, Blue",,,,1258.962646,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/15/2014 11:56,,,15-MAY-14 4:56:06PM,,,,,,,,
WAYPOINT,#1078,31.38822729,-111.1180938,3472634.593,488771.9777,15-MAY-14 4:53:52PM,,"Flag, Blue",,,,1259.923828,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/15/2014 11:53,,,15-MAY-14 4:53:52PM,,,,,,,,
WAYPOINT,#1079,31.38823156,-111.1180851,3472635.065,488772.807,15-MAY-14 4:54:09PM,,"Flag, Blue",,,,1259.683594,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/15/2014 11:54,,,15-MAY-14 4:54:09PM,,,,,,,,
WAYPOINT,#1080-85,31.38847355,-111.1182238,3472661.899,488759.6467,15-MAY-14 5:38:43PM,,"Flag, Blue",,,,1259.683594,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/15/2014 12:38,,,15-MAY-14 5:38:43PM,,,,,,,,
WAYPOINT,#1086-89,31.46392828,-111.2734557,3481051.052,474021.4594,16-MAY-14 1:12:11PM,,"Flag, Blue",,,,1326.254395,,,,,,,,,,,,,,,,,garmin eTrex VistaCx Software Version 3.40,,5/16/2014 8:12,,,16-MAY-14 1:12:11PM,,,,,,,,
